,Unnamed: 0,callDateTime,priority,district,description,callNumber,incidentLocation,location
68,68,2016-05-07 11:01:00,Medium,ND,911/NO  VOICE,P161281033,3800 HOOPER AV,"(39.3338043,-76.6474606)"
69,69,2016-05-07 11:03:00,Non-Emergency,NE,Repairs/Service,P161281035,100,"(39.3810499,-76.6572571)"
70,70,2016-05-07 11:01:00,Low,SD,INVESTIGATE,P161281036,300 S CALHOUN ST,"(39.2843850,-76.6395579)"
71,71,2016-05-07 11:03:00,Medium,SE,911/NO  VOICE,P161281037,700 S EXETER ST,"(39.2832525,-76.6001812)"
72,72,2016-05-07 11:01:00,Medium,NW,SUSPICIOUS PERS,P161281038,PIMLICO RD/DUPONT AV,"(39.343880,-76.667756)"
73,73,2016-05-07 10:49:00,Medium,NW,NARCOTICSOutside,P161281039,5400 CRISMER AV,"(39.3462410,-76.6898783)"
74,74,2015-05-05 18:10:00,Low,ED,Transport,P151252235,H0,"(38.1877274,-76.4306578)"
75,75,2015-07-13 11:07:00,Low,NW,INV,P151941073,4000 WOODHAVEN AV,"(39.3210930,-76.6836240)"
76,76,2015-07-13 11:07:00,High,SD,AGGRAV ASSAULT,P151941074,2600 SPELMAN RD,"(39.2485699,-76.6292808)"
77,77,2015-07-13 11:07:00,Medium,SW,NARCOTICSOutside,P151941075,S SMALLWOOD ST/W PRATT ST,"(39.284957,-76.651306)"
78,78,2015-07-13 11:12:00,Medium,CD,911/NO  VOICE,P151941076,1700 EUTAW PL,"(39.3068760,-76.6304080)"
79,79,2015-07-13 11:10:00,Medium,SW,MISSING PERSON,P151941077,1500 DESOTO RD,"(39.2673110,-76.6586680)"
80,80,2015-07-13 11:12:00,Medium,CD,DISORDERLY,P151941078,S PRESIDENT ST/E LOMBARD ST,"(39.288203,-76.604966)"
81,81,2015-07-13 11:10:00,Low,NE,RECOVERED VEH,P151941079,1700 E 30TH ST,"(39.3255630,-76.5918200)"
82,82,2015-07-13 11:13:00,Low,CW,OTHER,P151941080,500 ROSE HILL TE,"(39.2903848,-76.6121893)"
83,83,2015-07-13 11:11:00,Medium,WD,911/NO  VOICE,P151941081,600 CUMBERLAND ST,"(39.3093283,-76.6416623)"
84,84,2015-07-13 11:09:00,Medium,NE,DISORDERLY,P151941082,3500 ELMORA AV,"(39.3159950,-76.5723010)"
85,85,2015-07-13 11:13:00,Medium,ED,911/NO  VOICE,P151941083,1600 E CHASE ST,"(39.3033370,-76.5963690)"
86,86,2015-07-13 11:14:00,Medium,WD,NARCOTICSOutside,P151941085,200 N MONROE ST,"(39.2906620,-76.6473290)"
87,87,2015-07-13 11:14:00,Medium,SE,BURGLARY,P151941086,3800 CLAREMONT ST,"(39.2897152,-76.5648428)"
88,88,2015-07-13 11:12:00,Medium,SE,NARCOTICS INSIDE,P151941087,EASTERN AV/KANE ST,"(39.287755,-76.537100)"
89,89,2015-07-13 11:11:00,Medium,SW,DISORDERLY,P151941088,1700 POPLAR GROVE ST,"(39.3073200,-76.6659240)"
90,90,2015-07-13 11:14:00,Medium,ND,911/NO  VOICE,P151941089,2400 W BELVEDERE AV,"(39.3549016,-76.6622292)"
91,91,2015-07-13 13:21:00,Low,SE,AUTO ACCIDENT,P151941504,1600 THAMES ST,"(39.2811520,-76.5948677)"
92,92,2015-07-13 13:25:00,Medium,WD,911/NO  VOICE,P151941505,800 N ARLINGTON AV,"(39.2979694,-76.6358250)"
93,93,2015-07-13 13:27:00,Medium,ND,UNFOUNDED,P151941506,2300 N CHARLES ST,"(39.3154020,-76.6172200)"
94,94,2015-07-13 13:25:00,Medium,ED,911/NO  VOICE,P151941507,600 N WOLFE ST,"(39.2972451,-76.5922121)"
95,95,2015-07-13 13:24:00,Low,SD,UNKNOWN TROUBLE,P151941508,1600 WICOMICO ST,"(39.2744811,-76.6355730)"
96,96,2015-07-13 13:25:00,Medium,SD,911/NO  VOICE,P151941509,1900 LIGHT ST,"(39.2683330,-76.6122649)"
97,97,2015-07-13 13:26:00,Low,SE,AUTO ACCIDENT,P151941510,1600 THAMES ST,"(39.2811520,-76.5948677)"
98,98,2015-07-13 13:27:00,Low,ED,INVESTIGATE,P151941511,500 N MADEIRA ST,"(39.2966104,-76.5857710)"
99,99,2015-07-13 13:26:00,Medium,SW,DISORDERLY,P151941513,3100 W NORTH AV,"(39.3093340,-76.6695320)"
100,100,2015-07-13 13:26:00,Medium,CD,911/NO  VOICE,P151941514,200 N CALVERT ST,"(39.2912379,-76.6124711)"
101,101,2015-07-13 13:27:00,Medium,ED,LARCENCY,P151941515,600 FALLSWAY,"(39.2962616,-76.6099423)"
102,102,2015-07-13 13:27:00,Medium,SD,BURGLARY,P151941516,3600 6TH ST,"(39.2362482,-76.6023611)"
103,103,2015-07-13 13:29:00,Medium,SW,BURGLARY,P151941517,3000 W NORTH AV,"(39.3093320,-76.6677120)"
104,104,2015-07-13 13:29:00,Low,CD,INVESTIGAGTE,P151941518,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
105,105,2015-07-13 13:30:00,Non-Emergency,WD,TOWED VEHICLE,P151941519,3000 W LANVALE ST,"(39.2971815,-76.6672415)"
106,106,2015-07-13 13:30:00,Low,ED,INVESTIGATE,P151941520,2600 MURA ST,"(39.3054782,-76.5808770)"
107,107,2015-04-27 11:13:00,,SW,BURGLARY,P151170971,100 S CULVER ST,"(39.2851810,-76.6786740)"
108,108,2015-04-27 11:16:00,Medium,SE,911/NO  VOICE,P151170972,2100 BOSTON ST,"(39.2846619,-76.5866615)"
109,109,2015-04-27 11:13:00,Medium,CD,HIT AND RUN,P151170973,N PACA ST/W BALTIMORE ST,"(39.289257,-76.622272)"
110,110,2015-04-27 11:21:00,Low,SW,Transport,P151170975,200,"(39.2912369,-76.6124710)"
111,111,2015-04-27 11:21:00,Medium,CD,BURGLARY,P151170976,1800 DIVISION ST,"(39.3051017,-76.6347725)"
112,112,2015-04-27 11:21:00,Low,SD,OTHER,P151170977,1600 COLE ST,"(39.2823533,-76.6423985)"
113,113,2015-07-13 11:06:00,Medium,SD,MISSING PERSON,P151941090,800 GLADE CT,"(39.2297497,-76.6009878)"
114,114,2015-07-13 11:15:00,Medium,SW,BURGLARY,P151941092,3700 CRANSTON AV,"(39.2966900,-76.6790120)"
115,115,2015-07-13 11:15:00,Medium,CD,911/NO  VOICE,P151941093,200 LIGHT ST,"(39.2869477,-76.6135979)"
116,116,2015-07-13 11:12:00,Medium,NW,POLICE INFO,P151941094,5900 PARK HEIGHTS AV,"(39.3558016,-76.6889025)"
117,117,2015-07-13 11:16:00,Low,CD,INVEST,P151941095,0 E PRATT ST,"(39.2865112,-76.6148804)"
118,118,2015-07-13 11:17:00,Medium,CD,911/NO  VOICE,P151941096,800 LINDEN AV,"(39.2987980,-76.6211370)"
119,119,2015-07-13 11:16:00,Medium,WD,AUTO THEFT,P151941097,1500 BAKER ST,"(39.3069008,-76.6423785)"
120,120,2015-07-13 11:13:00,Medium,NE,DISORDERLY,P151941098,5800 MORAVIA RD,"(39.3184266,-76.5463043)"
121,121,2015-07-13 11:21:00,Medium,ED,911/NO  VOICE,P151941099,700 FALLSWAY,"(39.2977369,-76.6104654)"
122,122,2015-07-13 11:21:00,Medium,NE,911/NO  VOICE,P151941100,2500 AISQUITH ST,"(39.3173062,-76.5981803)"
123,123,2015-07-13 11:23:00,Low,ED,INTOXICATED PERS,P151941101,E NORTH AV/GREENMOUNT AV,"(39.311405,-76.609461)"
124,124,2015-07-13 11:23:00,High,WD,Traffic Stop,P151941102,1300 W NORTH AV,"(39.3104442,-76.6386008)"
125,125,2015-07-13 11:12:00,Low,NW,INVEST,P151941103,3900 DOLFIELD AV,"(39.3396920,-76.6811520)"
126,126,2015-07-13 11:23:00,Medium,WD,911/NO  VOICE,P151941104,2800 EDMONDSON AV,"(39.2945028,-76.6630105)"
127,127,2015-07-13 11:21:00,Medium,WD,DISORDERLY,P151941105,1200 MOSHER ST,"(39.3001805,-76.6373764)"
128,128,2015-07-13 11:18:00,Medium,ED,DISORDERLY,P151941107,E MONUMENT ST/FALLSWAY,"(39.297744,-76.610441)"
129,129,2015-07-13 11:24:00,Medium,SE,COMMON ASSAULT,P151941108,3100 PULASKI HY,"(39.2955346,-76.5735518)"
130,130,2015-07-13 11:27:00,Medium,CW,Lab Request,P151941109,3500 CHESTNUT AV,"(39.3300300,-76.6296080)"
131,131,2015-07-13 11:28:00,Non-Emergency,ED,Repairs/Service,P151941111,100,"(39.3810499,-76.6572571)"
132,132,2015-07-13 11:26:00,High,ND,SILENT ALARM,P151941112,400 W 24TH ST,"(39.3161592,-76.6220130)"
133,133,2015-07-13 11:25:00,Medium,CD,NARCOTICSOutside,P151941113,ST PAUL ST/E FAYETTE ST,"(39.290429,-76.613907)"
134,134,2015-07-13 11:27:00,Low,NW,INV,P151941114,2700 TALBOT RD,"(39.3173720,-76.6909770)"
135,135,2015-07-13 11:28:00,Medium,SW,HIT AND RUN,P151941115,1100 WICKLOW RD,"(39.2976070,-76.6907710)"
136,136,2015-07-13 11:29:00,Medium,CD,911/NO  VOICE,P151941116,0 S GREENE ST,"(39.2885206,-76.6236639)"
137,137,2015-07-13 11:27:00,Medium,SW,NARCOTICSOutside,P151941117,POPLAR GROVE ST/PROSPECT ST,"(39.298627,-76.665148)"
138,138,2015-07-13 11:31:00,Low,NE,OTHER,P151941119,2900 BERWICK AV,"(39.3656890,-76.5540350)"
139,139,2015-07-13 11:29:00,Non-Emergency,NE,Repo,P151941120,1500 SHEFFIELD RD,"(39.3421595,-76.5920860)"
140,140,2015-07-13 11:31:00,Medium,ND,DISORDERLY,P151941122,E 0RD ST/OLD YORK RD,"(39.328313,-76.608449)"
141,141,2015-07-13 11:32:00,Non-Emergency,CD,Repairs/Service,P151941123,100,"(39.3810499,-76.6572571)"
142,142,2015-07-13 11:31:00,Medium,WD,DISORDERLY,P151941124,2300 EDMONDSON AV,"(39.2950950,-76.6534070)"
143,143,2015-07-13 11:31:00,Low,SD,INTOXICATED PERS,P151941125,1200 GLYNDON AV,"(39.2828759,-76.6356675)"
144,144,2015-07-13 11:33:00,High,ND,Traffic Stop,P151941126,PIMLICO RD/OAKLEY AV,"(39.348741,-76.668932)"
145,145,2015-07-13 11:30:00,Low,SW,AUTO ACCIDENT,P151941127,S CATON AV/JAMES ST,"(39.258464,-76.664409)"
146,146,2015-07-13 11:32:00,Medium,CD,911/NO  VOICE,P151941128,1700 EUTAW PL,"(39.3068760,-76.6304080)"
147,147,2015-07-13 11:28:00,Low,NW,DESTRUCT PROPTY,P151941129,5300 BEAUFORT AV,"(39.3484010,-76.6821630)"
148,148,2015-07-13 11:34:00,Non-Emergency,SE,Other,P151941130,700 PRESIDENT ST,"(39.2830033,-76.6015033)"
149,149,2015-07-13 11:32:00,Medium,ND,911/NO  VOICE,P151941131,2400 W BELVEDERE AV,"(39.3549016,-76.6622292)"
150,150,2015-07-13 11:32:00,Medium,NW,DISORDERLY,P151941132,4800 GARRISON BL,"(39.3407919,-76.6835008)"
151,151,2015-07-13 11:34:00,Medium,NW,CHECK BEING,P151941134,3600 OAKMONT AV,"(39.3444490,-76.6769870)"
152,152,2015-07-13 11:35:00,High,SE,RA POLICE,P151941135,600 S BROADWAY,"(39.2844034,-76.5937380)"
153,153,2015-07-13 11:34:00,Low,ND,LARCENCY,P151941136,0 ST MARTINS RD,"(39.3347772,-76.6180794)"
154,154,2015-07-13 11:32:00,Medium,WD,DISORDERLY,P151941137,600 BAKER ST,"(39.3082782,-76.6404077)"
155,155,2015-07-13 11:32:00,Medium,WD,DISORDERLY,P151941138,1100 N FULTON AV,"(39.3010590,-76.6462480)"
156,156,2015-07-13 11:36:00,Medium,SD,Warrant Service,P151941139,SOUTHERN DISTRICT,"(39.253253,-76.615524)"
157,157,2015-07-13 11:35:00,Medium,CD,911/NO  VOICE,P151941140,0 N GREENE ST,"(39.2892172,-76.6236974)"
158,158,2015-07-13 11:34:00,Medium,SD,SUSPICIOUS PERS,P151941141,1400 HOLLINS ST,"(39.2877090,-76.6396610)"
159,159,2015-07-13 11:36:00,Low,CD,HIT AND RUN,P151941142,1000 MYRTLE AV,"(39.2964119,-76.6299970)"
160,160,2015-07-13 11:36:00,Medium,WD,COMMON ASSAULT,P151941143,2400 WESTWOOD AV,"(39.3086920,-76.6563490)"
161,161,2015-07-13 11:37:00,Low,NE,LARCENCY,P151941144,6600 MORAVIA PARK DR,"(39.3129260,-76.5360670)"
162,162,2015-07-13 11:37:00,Medium,ED,911/NO  VOICE,P151941145,700 E PRESTON ST,"(39.3050029,-76.6080622)"
163,163,2015-07-13 11:38:00,Medium,SD,NARCOTICSOutside,P151941147,1100 W PRATT ST,"(39.2858777,-76.6352564)"
164,164,2015-07-13 11:38:00,Low,SW,RECOVERED VEH,P151941148,1100 N LONGWOOD ST,"(39.3006169,-76.6672886)"
165,165,2015-07-13 11:39:00,High,NE,Traffic Stop,P151941149,HARFORD RD/CHESTERFIELD AV,"(39.331394,-76.579513)"
166,166,2015-07-13 11:37:00,Medium,WD,DISORDERLY,P151941151,1200 MOSHER ST,"(39.3001805,-76.6373764)"
167,167,2015-07-13 11:40:00,Medium,ND,911/NO  VOICE,P151941152,3500 I 83 S,"(39.3714695,-76.6105829)"
168,168,2015-07-13 11:42:00,High,SW,Traffic Stop,P151941154,4100 FREDERICK AV,"(39.2819620,-76.6834430)"
169,169,2015-07-13 11:40:00,Medium,ND,911/NO  VOICE,P151941155,2500 W BELVEDERE AV,"(39.3535492,-76.6668878)"
170,170,2015-07-13 11:42:00,Medium,WD,911/NO  VOICE,P151941156,1300 LAURENS ST,"(39.3035403,-76.6391583)"
171,171,2015-07-13 11:42:00,Medium,CD,911/NO  VOICE,P151941158,1000 CATHEDRAL ST,"(39.3011812,-76.6180370)"
172,172,2015-07-13 11:41:00,Medium,WD,DISORDERLY,P151941159,600 BAKER ST,"(39.3082782,-76.6404077)"
173,173,2015-07-13 11:42:00,Low,WD,HIT AND RUN,P151941160,1700 APPLETON ST,"(39.3079300,-76.6491790)"
174,174,2015-07-13 11:41:00,Medium,WD,DISORDERLY,P151941161,2300 REISTERSTOWN RD,"(39.3147700,-76.6486600)"
175,175,2015-07-13 11:42:00,Medium,WD,DISORDERLY,P151941162,1100 N FULTON AV,"(39.3010590,-76.6462480)"
176,176,2015-07-13 11:43:00,Low,SD,OTHER,P151941163,0TH ST/WASHBURN AV,"(39.232295,-76.596826)"
177,177,2015-07-13 11:43:00,Medium,SD,DISORDERLY,P151941164,3500 S HANOVER ST,"(39.2403956,-76.6086211)"
178,178,2015-07-13 11:42:00,Medium,SD,DISORDERLY,P151941165,1300 W PRATT ST,"(39.2855915,-76.6379934)"
179,179,2015-07-13 11:45:00,Medium,SD,DISORDERLY,P151941166,1300 S CAREY ST,"(39.2796040,-76.6343810)"
180,180,2015-07-13 11:41:00,Non-Emergency,ED,RECOVER PROPERTY,P151941167,HILLEN ST/EAST ST,"(39.296368,-76.606174)"
181,181,2015-07-13 11:47:00,Medium,NW,NARCOTICSOutside,P151941168,3900 W GARRISON AV,"(39.3434810,-76.6804120)"
182,182,2015-07-13 11:46:00,Medium,WD,COMMON ASSAULT,P151941169,2500 PENNSYLVANIA AV,"(39.3104900,-76.6435070)"
183,183,2015-07-13 11:45:00,High,NE,SILENT ALARM,P151941171,1400 STONEWOOD RD,"(39.3498058,-76.5937958)"
184,184,2015-07-13 11:46:00,Medium,SE,COMMON ASSAULT,P151941172,7000 CONLEY ST,"(39.2904218,-76.5297820)"
185,185,2015-07-13 11:48:00,Low,NE,HIT AND RUN,P151941173,3200 ROSALIE AV,"(39.3665900,-76.5428160)"
186,186,2015-07-13 11:47:00,Low,CD,LARCENCY,P151941174,400 E PRATT ST,"(39.2872661,-76.6093253)"
187,187,2015-07-13 11:48:00,Medium,NE,MISSING PERSON,P151941175,3200 RAVENWOOD AV,"(39.3154674,-76.5783686)"
188,188,2015-07-13 11:49:00,Low,SE,OTHER,P151941176,6700 BESSEMER AV,"(39.2772190,-76.5324340)"
189,189,2015-07-13 11:48:00,Medium,ND,911/NO  VOICE,P151941177,1000 TUNBRIDGE RD,"(39.3562712,-76.6005300)"
190,190,2015-07-13 11:49:00,Low,TRU,LARCENY F/AUTO,P151941178,1400 WILMER CT,"(39.3008047,-76.6322253)"
191,191,2015-07-13 11:46:00,Medium,WD,DISORDERLY,P151941180,1100 N FULTON AV,"(39.3010590,-76.6462480)"
192,192,2015-07-13 11:50:00,Medium,SW,911/NO  VOICE,P151941181,700 POPLAR GROVE ST,"(39.2956120,-76.6653450)"
193,193,2015-07-13 11:50:00,High,ND,ROBBERY ARMED,P151941182,6300 YORK RD,"(39.3708423,-76.6106243)"
194,194,2015-07-13 11:50:00,Low,SW,AUTO ACCIDENT,P151941183,JAMES ST/S CATON AV,"(39.258258,-76.664568)"
195,195,2015-07-13 11:52:00,Medium,CW,Lab Request,P151941184,100 N MILTON AV,"(39.2932140,-76.5822050)"
196,196,2015-07-13 11:51:00,Medium,SD,DISORDERLY,P151941185,3500 S HANOVER ST,"(39.2403956,-76.6086211)"
197,197,2015-07-13 11:50:00,Medium,SE,NARCOTICSOutside,P151941186,E FAYETTE ST/N BROADWAY,"(39.293965,-76.594117)"
198,198,2015-07-13 11:51:00,Medium,NW,DISORDERLY,P151941187,3700 W BELVEDERE AV,"(39.3464230,-76.6805640)"
199,199,2015-07-13 11:50:00,Medium,CD,911/NO  VOICE,P151941188,200 N CALVERT ST,"(39.2912379,-76.6124711)"
200,200,2015-07-13 11:52:00,High,SE,AUTO ACC/INJURY,P151941189,S BROADWAY/E LOMBARD ST,"(39.290367,-76.593878)"
201,201,2015-07-13 11:52:00,High,SE,AUTO ACC/INJURY,P151941190,E LOMBARD ST/S BROADWAY,"(39.290367,-76.593878)"
202,202,2015-07-13 11:52:00,High,WD,AGGRAV ASSAULT,P151941191,1600 VINCENT CT,"(39.3067502,-76.6441329)"
203,203,2015-07-13 11:53:00,Medium,SE,911/NO  VOICE,P151941192,5600 O'DONNELL ST,"(39.2788350,-76.5466052)"
204,204,2015-07-13 11:54:00,Low,ED,WANTED ON WARR,P151941193,1400 E NORTH AV,"(39.3123832,-76.5987197)"
205,205,2015-07-13 11:39:00,Low,CD,INTOXICATED PERS,P151941194,GUILFORD AV/E MADISON ST,"(39.298763,-76.611584)"
206,206,2015-07-13 11:54:00,Low,ED,WANTED ON WARR,P151941195,1400 E NORTH AV,"(39.3123832,-76.5987197)"
